time_point,exact_count,estimate,mean_estimate,std_deviation
10,1000,987.4540118847362,987.4540118847362,49.37270059423682
20,2000,2090.142861281983,2090.142861281983,104.50714306409917
30,3000,3069.598182543422,3069.598182543422,153.4799091271711
40,4000,4039.4633936788146,4039.4633936788146,201.97316968394074
50,5000,4828.009320221218,4828.009320221218,241.40046601106093
60,6000,5793.596712201722,5793.596712201722,289.6798356100861
70,7000,6690.65852851774,6690.65852851774,334.532926425887
80,8000,8292.940916619948,8292.940916619948,414.6470458309974
90,9000,9091.003510568888,9091.003510568888,454.5501755284444
100,10000,10208.072577796045,10208.072577796045,510.4036288898023
